item,dept,unit_cost,stock_on_hand
"9253",45,17056,1586,41255
"9260",45,43185,1412,29187
"9799",45,10287,8923,7292
"944",57,5300,1553,37255
"2514",57,12402,0146,13545
"2696",57,15498,5253,45572
"2822",57,20469,7658,43831
"3023",57,40127,0617,93266
"3664",57,39033,8073,79865
"3973",57,46441,3752,60229
"6208",57,35421,2138,6630
"6569",57,24033,9786,78956
"7742",57,43873,1138,81252
"8676",57,12269,4104,54747
"9434",57,44620,4111,9391
"9464",57,11105,4901,97383
"9942",57,31213,4875,59791
"85",59,24980,0258,39629
"191",59,36499,0927,87501
"521",59,32406,9218,52836
"536",59,41387,3699,6753
"1389",59,32359,0528,52678
"2025",59,9253,7701,22927
"2203",59,21221,1743,89286
"4834",59,8582,5178,13188
"4879",59,19267,3657,95989
"5947",59,16384,7373,61023
"6236",59,31156,0305,68035
"6789",59,32608,1732,31100
"7150",59,8990,5885,99155
"7547",59,25041,7386,26652
"8700",59,8114,2377,8069
"1434",60,46113,2138,42956
"2379",60,22934,2329,76741
"3151",60,37346,4761,68263
"4174",60,42059,5631,15168
"6376",60,29487,7787,52757
"6843",60,49454,0512,72138
"6879",60,32830,1346,26757
"7226",60,43295,0241,86572
"8208",60,26905,7833,55362
"8512",60,39078,5889,53931
"9538",60,29251,9568,42454
"120",63,6319,4867,12966
"1331",63,44822,0025,54753
"1669",63,10447,7739,55173
"2108",63,9452,918,51316
"2340",63,23194,2267,6302
"2474",63,19296,9741,28227
"2712",63,49410,7897,67456
"3288",63,35873,4875,9845
"4624",63,35966,5404,20338
"4853",63,27213,9695,99338
"5143",63,24600,1338,27575
"5258",63,39899,0835,80888
"5544",63,48228,7557,88409
"6167",63,39008,8474,96474
"6469",63,45870,3344,66122
"7365",63,29599,2848,20304
"9282",63,22000,0936,11052
"759",71,40379,4419,81101
"860",71,7238,6743,55862
"1644",71,38839,2577,54651
"2479",71,36429,9992,91037
"3524",71,48268,662,87575
"3866",71,6613,1949,14411
"4965",71,29042,4733,53559
"5027",71,15638,0118,45931
"5946",71,24263,4775,83742
"7807",71,42283,8591,26703
"8563",71,10160,9688,53032
"9823",71,12982,9633,30100
"9836",71,5730,1187,94580
"9954",71,42458,6969,27374
"311",75,47822,413,40211
"422",75,26538,8151,50782
"1159",75,5597,9992,5736
"1919",75,31613,0071,48683
"2778",75,21747,8888,43416
"2906",75,15047,7322,62244
"3709",75,24648,3463,48879
"5963",75,37391,0181,29165
"7291",75,24551,9894,23521
"7904",75,20540,0571,18403
"8371",75,48761,6497,86227
"1637",82,36355,3371,62274
"4628",82,39801,3769,42194
"5121",82,38459,3315,86186
"6714",82,12643,0696,17340
"9359",82,6041,3112,1548
"9535",82,9901,1227,4877
"3",84,12681,9416,58322
"559",84,49588,9695,86868
"1068",84,15892,0742,98041
"1942",84,42277,142,59199
"3878",84,37946,7551,21180
"4618",84,26695,8066,38625
"5654",84,40364,3183,28245
"5660",84,39666,2537,46829
"5937",84,14846,8966,58204
"6901",84,48851,9943,50765
"7421",84,5299,0973,64341
"8018",84,22193,4286,22095
"8228",84,6165,8165,43261
"9581",84,48688,3133,35232
"9706",84,11121,1476,69489
"1465",7,13461,5077,20379
"1633",7,37173,4663,40302
"2402",7,33522,3165,6306
"2508",7,13819,2216,63439
"2808",7,22682,6319,76746
"3975",7,5818,8015,75907
"4521",7,11863,1772,45820
"4755",7,47676,7705,59904
"5404",7,27404,6542,14297
"5504",7,34730,6346,89719
"6846",7,17891,9692,37089
"7445",7,33526,5977,61577
"7989",7,22561,8549,3208
"8256",7,45925,119,91520
"8275",7,8093,6652,97740
"9217",7,11679,8595,77122
"9441",7,11942,7561,22939
"1361",45,11403,076,74709
"1600",45,18489,68,35310
"2422",45,21381,7409,4214
"3042",45,27648,5093,80634
"3513",45,29274,048,45255
"3733",45,16839,0541,18020
"4047",45,14297,7931,31210
"5077",45,41333,4257,77915
"6298",45,11680,3121,66492
"6831",45,42267,5161,28626
"7405",45,25193,4333,17775
"8253",45,17511,9148,47197
"9479",45,38349,6012,54694
"9867",45,21829,9675,63017
"1498",57,18496,465,32582
"1697",57,40584,1164,9905
"2329",57,41358,2653,54688
"2522",57,11514,0826,53083
"6247",57,5684,8011,55445
"6277",57,16127,0378,88914
"6829",57,26962,2051,53171
"6872",57,29584,4866,22897
"7376",57,20763,1276,9726
"8078",57,32515,2915,87667
"9374",57,43353,5085,22114
"9793",57,38833,6961,17278
"344",59,43105,7985,90495
"1122",59,9834,4252,13902
"1139",59,45041,0593,45099
"1808",59,31533,3796,60452
"2239",59,12484,3063,26948
"2610",59,18107,4437,34788
"3847",59,20215,5763,71059
"3967",59,31364,4549,23871
"4003",59,37760,1523,58067
"4422",59,32980,7183,61475
"5009",59,32252,5528,57745
"5882",59,30092,751,2849
"6302",59,31690,511,23957
"7105",59,39051,7211,86548
"7352",59,44774,1111,91810
"8579",59,32910,115,21234
"8614",59,21782,6684,18836
"9223",59,33026,1722,63040
"9534",59,37373,5997,42649
"756",60,10069,2053,73237
"1957",60,16097,6251,81752
"2011",60,6924,8365,77005
"2620",60,40200,48,39218
"4015",60,27212,7024,8656
"5306",60,26417,8211,26711
"5474",60,23502,4265,24970
"6032",60,5923,7089,64197
"6177",60,18381,3814,18771
"6246",60,46815,32,81402
"9149",60,14722,6081,75553
"9394",60,25392,294,51700
"9885",60,23896,6175,67684
"221",63,23661,8904,54954
"1818",63,33667,1713,41851
"2784",63,18760,6277,33659
"3085",63,36136,7646,66262
"3602",63,41840,6355,26719
"4075",63,36378,3703,53963
"4362",63,7090,6867,33733
"5323",63,38721,034,38067
"5830",63,44279,6143,10441
"6275",63,36097,4588,39971
"9897",63,26078,7131,22103
"1234",71,29657,8883,73379
"1835",71,38401,2182,21567
"3388",71,23575,6609,39231
"3566",71,20274,2471,47559
"4563",71,28424,6968,4407
"6059",71,38332,81,70535
"7250",71,11505,6183,97176
"7433",71,5596,8791,77046
"9196",71,43164,2977,62321
"9209",71,27991,5284,71150
"1239",75,29972,3087,37532
"3358",75,28253,2855,44134
"3742",75,42698,2663,97041
"4421",75,13657,7816,11618
"5297",75,40188,2906,6390
"5913",75,23639,8637,23956
"6271",75,35871,3778,42663
"7078",75,12690,8962,22067
"7441",75,17341,0642,78641
"8571",75,39229,7249,19961
"9126",75,43967,2761,57913
"9467",75,37753,1102,5337
"1290",82,44225,1605,83453
"1959",82,43981,5367,52786
"2871",82,22355,5239,32427
"3148",82,7675,6893,73805
"4081",82,41206,4565,79604
"4145",82,33235,3549,11781
"4214",82,22410,3799,54229
"4655",82,36328,7169,72085
"5799",82,44318,0236,18870
"207",84,43507,5767,80446
"1004",84,27075,9828,85821
"1119",84,37145,3263,27589
"2423",84,10685,1474,71419
"3886",84,15159,4696,38366
"4596",84,36695,0189,15106
"5182",84,34544,3515,59979
"5213",84,33707,6594,68208
"5682",84,31456,8416,61795
"6243",84,25178,1371,67557
"6779",84,17730,614,86914
"7391",84,18448,17,2403
"7746",84,37524,1442,54302
"9719",84,33986,6134,54417
"889",7,31930,2715,26488
"1297",7,32035,2568,39848
"3834",7,41050,5798,36168
"4665",7,16661,2806,7681
"4694",7,10902,2616,99062
"6166",7,36264,7534,96918
"7460",7,37471,4161,94939
"7905",7,6495,2205,87612
"542",45,13022,3952,40064
"596",45,46473,3329,77287
"1051",45,45693,5818,22184
"1912",45,23186,9187,95686
"2421",45,46036,3934,14837
"3056",45,17119,4181,72615
"3582",45,35767,6987,6285
"4183",45,18973,3811,42373
"4714",45,18982,2534,82698
"4961",45,8386,3326,10257
"5438",45,30413,5139,5829
"5912",45,23416,992,46117
"5989",45,47875,1238,12353
"7000",45,48494,5839,78607
"7298",45,19290,3202,74719
"9765",45,12666,4644,61762
"266",57,36744,5365,85540
"1177",57,15799,8913,39767
"1407",57,18151,3005,82398
"2933",57,46397,0842,20238
"3015",57,5554,3749,97662
"4510",57,36426,4106,57574
"5212",57,31289,1966,41772
"6969",57,11479,8775,31045
"8683",57,35004,4903,79506
"1033",59,6377,4194,4575
"1225",59,33073,9568,52661
"1629",59,48956,7363,44966
"2640",59,21408,3852,63564
"2757",59,18915,9589,69895
"2902",59,12615,8188,26327
"5187",59,28576,5064,47331
"5322",59,48765,2874,23632
"7617",59,42725,802,86306
"8450",59,46855,275,67667
"485",60,26638,8418,89606
"747",60,24939,3319,14198
"2551",60,36824,0561,33426
"5303",60,45966,1472,82096
"5338",60,47991,9623,57200
"5910",60,25395,6059,13638
"5978",60,9711,4857,99006
"6125",60,30366,8758,17767
"8742",60,14608,3112,12611
"9219",60,5419,5547,17472
"9730",60,29910,3768,74963
"14",63,49614,324,49051
"499",63,37447,2015,39691
"2394",63,16740,3971,62771
"6332",63,30733,6543,33420
"7538",63,27834,1432,12698
"8198",63,23384,9701,86115
"8647",63,42671,0085,43375
"9297",63,20128,4511,47902
"9311",63,38939,212,61305
"9498",63,15940,1774,37979
"2033",71,21567,3968,77441
"2491",71,16029,3328,77000
"2770",71,10987,687,84149
"3329",71,48731,6279,24297
"3351",71,15838,6618,67307
"4917",71,12111,6682,87683
"5105",71,8413,4278,78778
"7750",71,31050,8149,26908
"7911",71,43538,2531,34086
"8646",71,48396,9841,47186
"9011",71,43114,1384,27786
"9573",71,16055,1752,75988
"2027",75,10552,0735,63705
"3133",75,5212,2054,89372
"3712",75,29903,3805,65146
"4200",75,48102,389,96727
"4838",75,18015,8469,23950
"5670",75,33854,5544,84821
"8763",75,7334,1352,11168
"8880",75,48343,1277,72055
"39",82,18995,1229,46458
"147",82,45736,1674,37032
"1370",82,17452,3888,26506
"1526",82,14028,428,38037
"1884",82,26807,7279,38030
"2090",82,28013,2426,17831
"2223",82,12621,7959,15689
"3317",82,9456,1904,6743
"4640",82,22357,8556,74920
"5835",82,31740,2069,83426
"5866",82,26327,8539,21660
"7263",82,48508,2233,80765
"216",84,32797,9591,92515
"1920",84,28444,9749,56947
"4893",84,49058,381,42545
"5753",84,5227,8674,21357
"8070",84,42149,2861,61506
"8071",84,14182,5158,15025
"9143",84,26066,0056,49195
"9312",84,22680,9905,49781
"9368",84,39195,9725,21266
"9657",84,43081,5525,58081
"1517",7,9190,6735,27262
"2269",7,11866,1364,9987
"2565",7,42227,1871,27104
"4406",7,7632,4062,70996
"4418",7,9417,2391,32737
"4552",7,9929,5165,44821
"4789",7,49828,3615,52185
"4860",7,40396,7502,28186
"5163",7,25243,4394,20331
"5767",7,7376,1573,76086
"6228",7,25123,1605,17099
"8116",7,17989,8172,76943
"8155",7,44289,4651,76713
"8280",7,10430,3449,73620
"8559",7,36658,8535,26765
"8743",7,37676,2426,14904
"9365",7,45134,6386,86807
"9450",7,30276,1048,83139
"9827",7,8428,9797,3607
"610",45,15436,2458,10995
"1985",45,14928,8451,57401
"2168",45,23600,0684,8979
"3250",45,7335,3588,68664
"3954",45,38854,5921,44858
"4880",45,13653,4334,33438
"5243",45,39545,604,78901
"5635",45,44130,0171,51744
"6797",45,33134,9486,40089
"6873",45,49089,0159,87627
"7674",45,30368,9388,81516
"468",57,8796,5849,68596
"736",57,17889,7389,11191
"2217",57,19490,8949,30685
"3694",57,49734,4825,90758
"5826",57,21627,891,57563
"7204",57,31182,6021,12706
"8115",57,47961,24,71488
"8327",57,28181,2512,14482
"8441",57,30452,9121,90847
"9515",57,8982,0542,33175
"9966",57,5742,3716,85499
"1381",59,41941,4335,75716
"2371",59,26287,8904,95617
"2397",59,11713,2404,25611
"3060",59,42823,0099,34994
"7496",59,15462,6501,72363
"7643",59,42365,5795,5993
"7938",59,18999,0165,91215
"8442",59,28556,0306,61270
"8775",59,7400,6249,2901
"507",60,29834,8625,59371
"934",60,48785,2768,76205
"1063",60,45173,7999,47329
"1900",60,6549,2248,47293
"2321",60,38058,7107,15143
"2408",60,29043,9477,79037
"2720",60,19454,0799,62603
"3381",60,5694,5511,47149
"3431",60,19536,413,10430
"3494",60,47452,9092,99368
"3790",60,41736,2704,45194
"3910",60,8298,2219,91785
"4031",60,11801,4036,84200
"5186",60,26281,769,44853
"5759",60,6938,1601,32361
"5847",60,16207,1718,21659
"7844",60,8292,9443,88225
"150",63,20402,0145,74423
"1820",63,23860,5178,19605
"2057",63,12726,175,35957
"2541",63,18747,2486,4047
"2747",63,11721,9038,32363
"3894",63,34312,8084,73172
"5079",63,43557,254,31748
"5199",63,27491,2183,89044
"5414",63,17588,3988,10848
"6389",63,31511,0851,96981
"6632",63,7998,2876,30220
"6979",63,31330,2627,1209
"7350",63,17326,0374,98966
"8004",63,34314,3173,84626
"8088",63,7562,3251,22452
"9963",63,35279,6951,92901
"62",71,14045,5196,75893
"279",71,6224,8101,17835
"522",71,35398,4789,2283
"1035",71,14194,5599,81297
"3142",71,20716,0512,76229
"3180",71,31327,697,58431
"3521",71,6007,9518,73373
"4120",71,25164,1547,79491
"4241",71,48626,8058,85603
"4609",71,30662,9082,72653
"5138",71,8924,6149,5501
"6440",71,41061,0348,44449
"8186",71,13645,7351,19653
"8976",71,35947,3153,99908
"9584",71,16114,9699,29065
"9609",71,20923,9325,40106
"904",75,42961,1808,43436
"1050",75,5925,5143,19490
"1288",75,27554,7107,15908
"2150",75,21849,5746,32255
"2543",75,44651,8769,90670
"3505",75,11367,7536,19554
"3787",75,45074,8044,45037
"4027",75,39921,19,38601
"4124",75,39025,5148,32741
"4522",75,39674,0997,8377
"5268",75,21360,0744,97541
"7003",75,25310,3085,33838
"7734",75,33941,8042,98788
"8398",75,8669,7572,82251
"8971",75,29757,0395,65931
"9514",75,12269,5777,92801
"9949",75,11619,7075,76010
"73",82,36789,9611,79476
"1743",82,21368,3137,30251
"2054",82,42421,9091,42239
"2328",82,18271,0519,45459
"2596",82,33352,8412,27896
"3879",82,21771,4326,14795
"4301",82,23971,3568,17031
"4940",82,19817,429,48110
"5471",82,15594,6734,51322
"5681",82,5403,8486,49560
"6452",82,37193,8793,59082
"7125",82,35815,223,13022
"7246",82,30267,7631,27903
"8350",82,41853,7179,58288
"8561",82,5372,969,52134
"8713",82,38749,2682,62687
"9906",82,17449,3857,10471
"659",84,42048,9057,80719
"766",84,49143,8035,21781
"788",84,18351,4104,34925
"2100",84,9400,0691,46754
"2373",84,28187,0025,87018
"3387",84,15272,089,28409
"4268",84,18012,8504,36938
"4307",84,31814,6275,22811
"4702",84,24178,929,6632
"5407",84,11095,7721,74625
"6023",84,5809,3603,50092
"7008",84,9714,1968,15335
"7192",84,41219,6869,99814
"7812",84,35302,0959,73555
"8191",84,35846,4352,38789
"8641",84,30130,856,4939
"8943",84,47592,5761,17327
"9531",84,28306,9407,73174
"9915",84,14734,8778,87182
"386",7,37050,1282,33034
"447",7,23866,7517,11909
"458",7,36230,3459,7549
"1715",7,40003,3503,73046
"1847",7,39299,3102,48343
"2367",7,39800,7941,48568
"3039",7,34274,3278,68833
"3718",7,44061,6964,25554
"4872",7,24890,6705,57941
"8991",7,5116,2187,1237
"9758",7,10992,5058,78515
"429",45,31412,7797,64977
"1215",45,43458,6665,30799
"1355",45,10377,5748,87668
"1482",45,40688,2516,8967
"3437",45,28272,7747,9222
"3960",45,15607,7367,69691
"4533",45,46173,5603,60132
"6260",45,17089,2564,42496
"6508",45,10159,2805,16732
"8199",45,12347,4281,85596
"1376",57,37127,0561,34645
"2848",57,6629,5522,22035
"3337",57,24149,2324,40576
"3345",57,21721,0138,62453
"3997",57,18483,9111,70038
"4630",57,17530,3975,29666
"5855",57,7701,6182,65546
"8102",57,32527,7366,12926
"8105",57,20129,2917,69525
"8911",57,10788,3015,20276
"9554",57,33853,1159,23890
"777",59,12935,4554,54673
"819",59,46840,2689,90986
"843",59,29983,7188,18637
"1150",59,6067,756,53282
"2534",59,22293,1826,91632
"196",28,49685,2545,27656
"254",28,10410,7806,89174
"663",28,29562,3043,45457
"996",28,6008,4451,75293
"1283",28,13247,2325,9371
"1976",28,9240,5103,4975
"4190",28,15362,1354,8822
"6218",28,5362,1653,65060
"6598",28,16059,8708,89826
"8129",28,9113,6325,65081
"8478",28,12915,8963,24309
"8576",28,28106,8063,24596
"9271",28,17350,6154,3683
"9784",28,37309,1978,97880
"1521",32,40840,5455,7679
"1879",32,26699,1223,68126
"2016",32,5555,2054,4570
"2182",32,26424,2648,3483
"2539",32,33398,0679,52648
"4416",32,34915,0876,25543
"5518",32,22273,1499,47929
"7060",32,23585,6622,63056
"7805",32,7390,4188,86076
"8212",32,35041,074,5354
"8386",32,37631,5863,71017
"689",52,19509,3812,57522
"1582",52,18980,2522,53828
"2377",52,6419,5975,78338
"2419",52,15273,7028,60447
"2982",52,37111,1307,46389
"3186",52,22818,718,71247
"3840",52,8680,6877,47604
"4211",52,19412,3583,91902
"4929",52,41393,7889,34209
"4988",52,49899,416,66074
"5205",52,44220,703,91995
"6618",52,17948,0096,54925
"6694",52,24126,6085,38115
"8582",52,32661,3467,58717
"1289",90,38777,1239,73201
"1734",90,37519,1708,36997
"3736",90,10966,314,9367
"4960",90,5102,5541,52470
"6597",90,48592,4268,62171
"7267",90,17967,3706,35495
"7951",90,13449,9031,34840
"568",92,30803,4143,11479
"1887",92,44625,7291,36210
"2035",92,20505,9502,20054
"2274",92,25710,9175,12211
"2278",92,49877,3639,17635
"2694",92,7679,6322,19342
"3097",92,28386,8187,52019
"3279",92,29109,3929,47917
"4113",92,22858,6532,31569
"6041",92,5257,1213,49892
"7075",92,48423,3088,43091
"8918",92,21457,2419,7312
"9310",92,48799,0045,52216
"9728",92,22947,0334,54700
"672",28,38358,4423,62128
"1480",28,48985,7776,30665
"1667",28,28399,8977,83766
"1739",28,17237,6454,72213
"1865",28,35373,4653,54047
"3704",28,33042,3744,31775
"4465",28,23442,361,41784
"4600",28,45288,9158,48849
"5991",28,7685,1776,16974
"7607",28,5685,1869,4944
"7869",28,40198,0421,18952
"7940",28,39265,3136,50185
"8101",28,18250,7022,25291
"8613",28,21982,5791,13143
"9236",28,36435,0319,54105
"9533",28,49695,9112,2382
"2300",32,19925,1506,49008
"2445",32,9298,3094,74977
"2497",32,19488,1736,99775
"2815",32,11996,9346,49194
"5364",32,40231,7891,84723
"5777",32,37163,8543,39703
"5972",32,6586,107,96319
"6139",32,13844,9011,68963
"7511",32,37021,7294,97349
"7659",32,19442,647,57222
"7798",32,5317,7442,34634
"8147",32,37080,2588,98500
"8705",32,7772,8927,5412
"9569",32,27331,6654,51680
"82",52,39741,3625,20906
"270",52,13963,8683,33774
"354",52,40582,9694,39578
"2918",52,39413,3981,52553
"2994",52,21814,6313,45854
"4639",52,32905,5905,96842
"4865",52,36483,8826,66409
"5832",52,36780,0751,27607
"6974",52,47050,9085,5443
"8544",52,32988,5554,68480
"9159",52,34993,6813,19086
"9871",52,24351,2247,86838
"152",90,34464,8735,35283
"764",90,23156,4714,64511
"1146",90,42194,5038,67174
"1849",90,29345,2052,97124
"2516",90,32940,7626,5646
"2608",90,14169,4401,28115
"2741",90,6572,7718,41069
"3111",90,33810,3078,51955
"3230",90,21317,5779,92639
"3679",90,25466,1849,25857
"4447",90,34197,5001,68035
"4773",90,40912,9516,46440
"4930",90,42603,7599,14200
"5878",90,28582,3347,6633
"6225",90,13739,5793,80440
"6619",90,18976,6865,21716
"7329",90,17740,5368,12847
"7457",90,10334,1556,10133
"105",92,11490,1408,9661
"3794",92,36098,1315,46837
"3969",92,12769,0508,91140
"3994",92,15981,0035,95424
"6826",92,25636,3659,51599
"7169",92,5894,0175,71557
"7237",92,38025,3319,11009
"8577",92,38652,8199,40054
"9299",92,48807,6743,24494
"9686",92,18596,4442,17324
"697",28,7707,2248,11031
"1841",28,38008,8768,61562
"2806",28,46407,5831,38289
"3663",28,48300,7503,91416
"5184",28,32072,0265,83108
"6648",28,36145,6999,56537
"8328",28,19108,1268,87718
"9513",28,8077,2276,63867
"2748",32,24305,0418,85999
"2829",32,45686,0732,95472
"6191",32,31598,2529,43666
"6413",32,44379,7053,72237
"9258",32,26878,3544,96197
"9540",32,14923,5928,14671
"1161",52,38783,7816,57834
"3817",52,9186,0235,60854
"3819",52,20855,3367,23647
"3849",52,12758,1659,31340
"5119",52,29376,3507,61152
"5493",52,13943,9278,26316
"6322",52,28388,7495,46279
"6756",52,44390,2157,41606
"7273",52,28880,4145,53611
"7465",52,9345,668,39813
"7891",52,9246,5207,77049
"8338",52,48992,3259,20990
"8661",52,48735,3028,58273
"9187",52,24599,3122,46136
"9386",52,26036,9065,75154
"870",90,44245,2962,14564
"1175",90,16602,751,76003
"1738",90,10151,9097,94414
"3104",90,43018,4542,90049
"3378",90,22230,9008,86177
"4201",90,27538,3388,71685
"4535",90,30952,8258,37059
"4987",90,7610,4446,28222
"5226",90,7250,377,13821
"7885",90,8890,142,88554
"9103",90,28633,137,54898
"1930",92,42520,0211,4659
"2045",92,13281,1178,66365
"2284",92,21464,1435,94344
"2890",92,35671,8772,2657
"4232",92,27315,8653,55092
"5128",92,25155,1626,77724
"6721",92,32167,9701,80114
"49",28,9292,9728,94337
"712",28,19897,8434,62150
"4099",28,16499,55,53201
"4748",28,32219,7041,79463
"5520",28,24230,5091,27552
"6053",28,40018,6386,4437
"6318",28,34362,538,91382
"7200",28,45819,6377,92120
"8590",28,9514,4646,3216
"8906",28,48737,3578,5178
"9947",28,46546,6246,7616
"1877",32,43256,5572,62142
"3772",32,6548,175,53775
"5591",32,24382,0899,77465
"8314",32,21367,2344,62529
"9371",32,11634,2226,88122
"9576",32,30167,8456,23592
"1030",52,33508,0527,77325
"1435",52,26962,1808,47606
"2678",52,49588,7679,77356
"3511",52,23108,0698,65653
"3902",52,42331,4756,46776
"4159",52,24884,8136,52009
"4873",52,33704,6847,26935
"5221",52,35001,9648,10201
"6092",52,36322,7027,69744
"7232",52,46069,8386,66192
"8290",52,29045,0352,62572
"9379",52,42910,2497,80894
"9778",52,23648,0485,49153
"452",90,47893,6599,57508
"626",90,22888,609,56212
"1648",90,16995,4759,40633
"2169",90,46290,8078,17110
"3238",90,27837,1037,68552
"3859",90,35956,3883,28845
"4074",90,20844,7634,28097
"4266",90,20764,347,29075
"7387",90,38773,909,18715
"9024",90,12395,3105,70491
"103",92,28318,8434,44584
"3700",92,40855,1567,21821
"4062",92,10260,3693,55152
"4990",92,23474,7143,31936
"5356",92,37759,6401,41858
"5362",92,46178,5431,41353
"5916",92,5712,0029,97548
"6415",92,30103,1734,83399
"7251",92,16198,8246,50271
"9162",92,41239,8761,87948
"1172",28,44001,7667,28044
"1179",28,45116,5903,94698
"4275",28,24749,0957,1592
"4409",28,18773,1551,90257
"4467",28,35278,0667,64955
"5237",28,24049,2038,92770
"5935",28,42257,1232,32730
"6163",28,10384,7572,59824
"7588",28,42334,574,42547
"7960",28,46274,1164,73316
"8060",28,7547,4235,23606
"8520",28,10065,427,72598
"9495",28,24507,972,91628
"9980",28,31696,6279,80540
"832",32,29543,8321,36235
"3460",32,29207,0234,48127
"3745",32,5520,2941,48222
"4507",32,39127,0644,27967
"4677",32,9616,6693,52567
"7159",32,43352,7515,65842
"7322",32,16441,0696,33945
"9820",32,12122,8019,7661
"52",52,28444,7202,22950
"329",52,33569,7605,64965
"803",52,12073,7014,26258
"2710",52,45635,5116,86599
"4020",52,34624,6838,98079
"4821",52,40151,7412,33330
"5621",52,12325,3525,88087
"7500",52,11769,446,20222
"7556",52,27426,4608,74888
"7699",52,48936,2017,24186
"8066",52,39621,5968,44989
"1769",90,11450,3236,64261
"2043",90,43136,2724,39185
"2126",90,30187,4498,90588
"5647",90,36844,3838,43138
